Question (natural user phrasing),Expected Answer / Policy Rule,Category,Source PDF (exact filename),Notes,Evaluation Method
Is it safe for me to exercise during or after cancer treatment?,"Yes. Exercise training has been found to be generally safe and well tolerated during and after cancer treatment for most cancer survivors. Research consistently concludes that every survivor should avoid inactivity, and that some physical activity is better than none.",Physical Activity,exercise_guidelines_for_cancer_survivors__23.pdf,,RAGAS
How many times a week should I exercise to help with anxiety from my cancer diagnosis?,"Research supports moderate-intensity aerobic training three times per week for at least 12 weeks, or twice-weekly combined aerobic plus resistance training for 6 to 12 weeks, as doses that can significantly reduce anxiety in cancer survivors during and after treatment.",Physical Activity,exercise_guidelines_for_cancer_survivors__23.pdf,,RAGAS
Will lifting weights help with my depression since my cancer diagnosis?,"Resistance training alone does not appear to be effective for reducing depressive symptoms based on the available evidence. A combination of aerobic training plus resistance training, or aerobic training alone performed at moderate intensity three times per week for at least 12 weeks, is what the research supports for depression.",Physical Activity,exercise_guidelines_for_cancer_survivors__23.pdf,,RAGAS
I get so tired after treatment. Will exercising make my fatigue worse or better?,"Exercise is one of the most effective interventions for cancer-related fatigue, not a cause of it. Moderate-intensity aerobic training three times per week, for programs lasting at least 12 weeks, can significantly reduce cancer-related fatigue both during and after treatment.",Physical Activity,exercise_guidelines_for_cancer_survivors__23.pdf,,RAGAS
Should I join a gym with a trainer or can I exercise at home on my own?,"Research shows that supervised exercise programs appear to be more effective than strictly unsupervised or home-based programs. This may be because supervised settings help people achieve a higher dose of exercise or provide additional motivation and reinforcement. That said, home-based programs still provide benefit.",Physical Activity,exercise_guidelines_for_cancer_survivors__23.pdf,,RAGAS
I am on hormone therapy for prostate cancer and I feel like I am losing muscle. Can exercise help with that?,"Yes. Androgen deprivation therapy causes an abrupt loss of lean body mass and reduction in muscle strength. Several research trials have reported small but statistically significant improvements in lean body mass after 12 to 36 weeks of resistance training, even in the absence of testosterone. Resistance training can still effectively improve muscle strength even when muscle mass gains are limited.",Physical Activity,exercise_guidelines_for_cancer_survivors__23.pdf,,RAGAS
My cancer has spread to my bones. Is it safe for me to exercise?,This requires evaluation by your care team before starting exercise. The general guidance is to avoid movements that place an excessively high load on fragile skeletal sites. Individuals with known bone metastases require medical assessment to determine what exercise is safe for them specifically.,Physical Activity,exercise_guidelines_for_cancer_survivors__23.pdf,,RAGAS
I finished breast cancer treatment and had surgery. My shoulder feels stiff. Can exercise help?,"Surgery can result in temporary or more permanent reductions in joint range of motion and extensibility of muscle, tendon, and surrounding tissue. Targeted stretching and gentle mobility exercise can help address post-surgical stiffness, though the specific approach should account for the type of surgery you had.",Physical Activity,exercise_guidelines_for_cancer_survivors__23.pdf,,RAGAS
Does staying active after a cancer diagnosis actually help me live longer?,"Yes. There is consistent observational evidence that engaging in physical activity after a cancer diagnosis reduces the risk of cancer-specific and all-cause mortality for individuals diagnosed with early-stage breast, colorectal, and prostate cancer.",Physical Activity,exercise_guidelines_for_cancer_survivors__23.pdf,,RAGAS
I gained a lot of weight during chemotherapy. Can I use exercise to lose it?,"Weight gain is a common side effect of chemotherapy and certain hormone therapies. For cancer survivors prone to weight gain, exercise combined with dietary modifications can be helpful. However, it is important that exercise does not create an energy deficit that worsens fatigue. Working with both an exercise professional and an oncology dietitian is recommended.",BMI,exercise_guidelines_for_cancer_survivors__23.pdf,,RAGAS
What kinds of exercise are best for cancer survivors — cardio or weights?,"Both are recommended. The evidence supports aerobic exercise for improving cardiovascular fitness, fatigue, anxiety, and depression, while resistance training is important for rebuilding muscle strength lost during treatment. Combined programs — aerobic plus resistance training — are effective for multiple outcomes simultaneously.",Physical Activity,exercise_guidelines_for_cancer_survivors__23.pdf,,RAGAS
I have numbness and tingling in my feet from chemo. Are there exercises I should avoid?,"Peripheral neuropathy affects balance and sensation. High-impact activities and exercises requiring precise balance or grip may need to be modified. Lower-impact options such as swimming, stationary cycling, and seated or supported exercises tend to be better tolerated. The evidence for exercise specifically reversing neuropathy symptoms remains uncertain.",Physical Activity,exercise_guidelines_for_cancer_survivors__23.pdf,,RAGAS
Where can I find an exercise program specifically designed for cancer survivors?,"A registry of exercise programming specifically for cancer survivors is available at www.exerciseismedicine.org/movethruca. Your oncology team can also use the Assess, Advise, and Refer approach to connect you with appropriate exercise programming.",Physical Activity,exercise_guidelines_for_cancer_survivors__23.pdf,,RAGAS
I have not exercised in years and just finished cancer treatment. Where do I even start?,Starting gradually is key. A customized exercise program may not immediately resemble full guideline recommendations. The initial goal is to begin moving and build toward recommended levels over time — working toward at least 150 minutes of moderate activity per week and resistance training twice weekly as tolerance improves.,Physical Activity,exercise_guidelines_for_cancer_survivors__23.pdf,,RAGAS
How long does it take to see benefits from exercise as a cancer survivor?,"Research trials typically show meaningful improvements in fatigue, anxiety, and quality of life after 6 to 12 weeks of consistent exercise. Improvements in muscle strength and fitness can appear within the same timeframe. The key is consistency — programs lasting at least 12 weeks show the strongest evidence.",Physical Activity,exercise_guidelines_for_cancer_survivors__23.pdf,,RAGAS
I heard that exercise can actually help with treatment side effects. Is that true?,"Yes. Research has found that exercise during treatment may help reduce the duration of certain side effects. Exercise has been associated with improved hemoglobin levels, sleep, shoulder range of motion after breast surgery, reduced duration of diarrhea and pain during treatment, and fewer hospital visits for symptom management.",Physical Activity,american_college_of_sports_medicine_roundtable_on_23.pdf.pdf,,RAGAS
I am worried that exercising will hurt my cancer treatment. Could working out interfere with my therapy?,"Research does not show that exercise interferes with cancer treatment efficacy. In fact, early evidence suggests exercise may improve treatment tolerance. Medical assessment before starting exercise is recommended for those with known cardiac conditions or bone metastases, but requiring full medical clearance for all survivors before any exercise creates an unnecessary barrier for the majority who are unlikely to have these complications.",Physical Activity,american_college_of_sports_medicine_roundtable_on_23.pdf.pdf,,RAGAS
I have prostate cancer and my doctor mentioned my PSA. Should I avoid intense exercise because it might affect my PSA levels?,Research has found that PSA is not negatively affected immediately after high-intensity resistance exercise. There is no evidence that exercise causes clinically concerning rises in PSA.,Physical Activity,american_college_of_sports_medicine_roundtable_on_23.pdf.pdf,,RAGAS
I had breast cancer. Is it safe to lift weights or will it cause lymphedema in my arm?,Research has found no evidence of increased onset of lymphedema among breast cancer survivors who performed either aerobic exercise or resistance training during chemotherapy. More recent evidence specifically supports that progressive supervised resistance training does not exacerbate lymphedema.,Physical Activity,american_college_of_sports_medicine_roundtable_on_23.pdf.pdf,,RAGAS
Will exercise improve my quality of life after a cancer diagnosis?,"Yes. Multiple randomized controlled trials have shown that supervised exercise programs — combining aerobic, resistance, and stretching activities — improve quality of life in cancer survivors. The evidence is strongest for breast and prostate cancer survivors but the general finding extends across cancer types.",Physical Activity,american_college_of_sports_medicine_roundtable_on_23.pdf.pdf,,RAGAS
I have prostate cancer and am on hormone therapy. Will exercise help my body composition?,"Research shows that exercise interventions have observed improvements in at least one body composition variable for prostate cancer survivors on ADT, including weight control, prevention of fat mass gain, and maintenance or increases in lean mass. Results vary across studies.",Physical Activity,american_college_of_sports_medicine_roundtable_on_23.pdf.pdf,,RAGAS
I had breast cancer. What shoulder assessment should I have before starting upper body exercises?,An evaluation specifically for arm and shoulder morbidity is recommended before starting upper body exercise for breast cancer survivors. This helps identify any limitations or complications from surgery or treatment that should shape the exercise program.,Physical Activity,american_college_of_sports_medicine_roundtable_on_23.pdf.pdf,,RAGAS
How often should I do cardio versus weights as a cancer survivor?,"To help manage cancer treatment-related symptoms, you can choose aerobic exercise three times per week for 30 to 60 minutes, or resistance exercise twice per week at two sets of 8 to 15 repetitions, or a combination of both aerobic exercise two to three times per week for 20 to 40 minutes plus resistance training twice per week.",Physical Activity,ConsolidatedInfographicfortheACSMRoundtableonCancerandExercise.pdf,,RAGAS
